Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Discount,Profit
First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.5439999999999,0.2,123.4737
First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,0.6,-147.963
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.32799999999999,0.2,35.415
Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,0.32,-46.9764
Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,0.3,-15.147
Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,0.2,41.7564
Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,0.2,16.5564
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,0.0,3.8939999999999997
Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,0.2,9.5616
First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,0.0,19.7714
First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,0.0,8.2062
Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,0.0,8.4784
Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,0.0,4.95
Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,0.0,6.104
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,0.0,17.9634
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,0.0,35.3346
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,0.0,2.9568
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,0.0,17.0981
Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,0.0,6.2566
Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,0.0,298.6855
First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,0.0,52.14
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,0.0,15.552
First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,0.1,7.098
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,0.0,6.9888
First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,0.0,3.3
First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,0.2,16.362000000000002
First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,0.0,0.84
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,0.0,6.1512
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,0.2,9.3612
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,0.0,68.9631
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,0.0,22.3328
Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,0.3,-15.2225
Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,0.2,111.3024
Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,0.2,62.988
First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,0.0,35.6636
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.6160000000000005,0.2,1.7309999999999999
Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,0.0,8.763
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,0.2,-114.3912
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,0.2,1.213
Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.78399999999999,0.2,-18.195999999999998
First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,0.8,-1.9344
First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,0.6,-5.8248
First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,0.2,2.7239999999999998
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,0.6,-14.475
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,0.0,56.2032
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,0.0,8.0352
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,0.0,4.172
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,0.0,6.2031
Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,0.2,62.8075
First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.37599999999998,0.2,-48.9549
Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,0.0,33.2156
Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,0.0,6.7966
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,0.0,2.9568
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,0.2,13.8572
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,0.0,6.632999999999999
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,0.2,8.2782
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,0.0,3.1104
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,0.0,6.2208
Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,0.0,16.5354
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,0.0,16.1504
Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,0.7,-3.7880000000000003
Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,0.0,40.5426
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,0.2,17.9592
Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,0.0,22.5852
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,0.2,22.6184
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,0.2,-10.7973
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,0.8,-3.0396
Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,0.0,11.7208
Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,0.2,-26.8758
Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,0.2,-3.8385
Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,0.7,-25.8174
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,0.2,17.6016
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.991999999999997,0.2,2.0994
Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,0.2,1.0738
Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,0.2,67.992
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,0.0,10.9096
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,0.0,22.788
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,0.0,13.3476
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,0.2,14.5348
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,0.2,1.652
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,0.2,7.4925
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,0.2,44.0316
Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,0.0,165.3813
Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.79399999999998,0.7,-115.7156
First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,0.0,18.3456
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,0.0,13.878
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,0.0,63.4368
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,0.0,51.75899999999999
First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,0.0,19.7316
Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,0.3,-8.5794
Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,0.5,-407.68199999999996
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,0.7,-1.8308
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.99200000000002,0.2,30.499000000000002
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.42399999999999,0.2,-9.1602
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,0.0,26.2416
First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,0.4,-11.994000000000002
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,0.2,29.364
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,0.2,6.9732
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,0.0,9.6192
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,0.0,16.6568
Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,0.0,3.4560000000000004
Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,0.0,1.9698
Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,0.2,26.6616
Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,0.0,18.4464
Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,0.0,20.6976
Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,0.2,10.35
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,0.0,2.3814
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,0.0,5.1042
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,0.0,68.976
Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,0.0,218.2518
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,0.0,20.1579
Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.88799999999999,0.2,12.9096
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,0.0,103.8015
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,0.0,5.9988
Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,0.0,585.552
Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,0.0,80.6285
First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,0.2,17.766
First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.18400000000003,0.2,15.2388
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,0.0,26.271
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,0.0,48.5392
First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,0.0,21.0288
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,0.0,1.7901
Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.56800000000004,0.2,51.4764
Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,0.0,6.8714
Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,0.0,236.2325
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,0.0,2.6910000000000003
Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.38399999999999,0.2,1.3596
Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,0.0,13.347999999999999
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,0.2,9.687999999999999
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,0.2,2.7324
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.951999999999,0.4,-1359.9920000000002
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,0.2,-58.6347
Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,0.3,-24.858
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,0.2,6.8136
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,0.8,-453.849
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,0.2,8.9985
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,0.0,9.8418
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,0.0,53.2608
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,0.2,21.259
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,0.8,-131.12
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,0.2,6.5520000000000005
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,0.8,-243.16
Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.80199999999996,0.3,-11.3372
Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,0.2,-3.7715
Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,0.0,1.4104
Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,0.2,1.8612
Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,0.2,76.6395
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,0.0,131.0296
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,0.0,41.986000000000004
Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,0.0,7.25
Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,0.0,3.4368
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,0.0,22.984
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224000000000004,0.2,3.7224
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,0.2,6.255
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.1360000000001,0.2,112.39200000000001
First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,0.0,20.0928
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,0.0,24.8832
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,0.2,46.9764
First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,0.0,6.567
Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,0.0,6.7116
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.4079999999999995,0.2,1.2038
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.047999999999999,0.2,1.5876
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,0.0,12.0276
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,0.7,-2.2586
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.055999999999997,0.2,5.8203
Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,0.2,6.795
First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,0.5,-161.875
First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,0.2,0.2925
Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.28399999999999,0.8,-178.9668
Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,0.2,9.6712
Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.76800000000003,0.2,44.4768
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,0.0,5.8744
Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,0.0,35.6346
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,0.0,7.4824
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,0.0,16.2099
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,0.0,3.6796
Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,0.2,6.5
Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,0.2,8.88
Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,0.5,-244.32299999999998
Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,0.4,-14.6958
Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188.0,0.7,-950.4
Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,0.2,4.4792
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,0.0,26.0568
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,0.2,22.6782
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,0.2,1.8148
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,0.2,8.2302
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,0.7,-13.8432
First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,0.2,19.0848
First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.98800000000006,0.7,-383.9904
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168000000000003,0.2,2.7168
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,0.0,0.968
Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,0.0,136.939
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,0.0,0.2198
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.56799999999998,0.2,-28.2744
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.69599999999997,0.2,43.8408
Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,0.7,-12.432
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,0.45,-102.04799999999999
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,0.45,-248.2458
Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.327999999999999,0.7,-3.552
Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,0.2,0.0
Standard Class,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,0.2,-7.7247
Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,0.0,4.752
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,0.2,9.396
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,0.6,-356.728
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.687999999999999,0.6,-4.6752
Second Class,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,0.2,11.1944
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,0.5,-120.51299999999999
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,0.6,-2.8308
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.4079999999999995,0.2,1.2038
Second Class,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,0.0,580.5394
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,0.0,41.68
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,0.0,23.94
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,0.0,496.0725
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,0.0,12.4416
Second Class,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,0.2,28.1372
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,0.0,3.5767
Standard Class,Consumer,San Diego,California,West,Technology,Accessories,3347.37,0.0,636.0003
First Class,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,0.0,22.5624
First Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,0.0,162.864
Standard Class,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,0.6,-8.4924
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,0.2,-19.5624
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,53.92,0.2,4.044
Standard Class,Corporate,Chicago,Illinois,Central,Technology,Phones,647.904,0.2,56.6916
Second Class,Consumer,New York City,New York,East,Technology,Accessories,20.37,0.0,6.9258
Second Class,Consumer,New York City,New York,East,Office Supplies,Storage,221.55,0.0,6.6465
Second Class,Consumer,New York City,New York,East,Office Supplies,Binders,17.52,0.2,6.132000000000001
Standard Class,Corporate,Pasadena,Texas,Central,Office Supplies,Appliances,1.624,0.8,-4.466
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,3059.982,0.4,-509.99699999999996
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,2519.958,0.4,-251.9958
Standard Class,Consumer,Chicago,Illinois,Central,Technology,Phones,328.224,0.2,28.7196
Standard Class,Consumer,Brentwood,California,West,Technology,Accessories,79.9,0.0,35.156
Standard Class,Corporate,Chapel Hill,North Carolina,South,Office Supplies,Art,14.015999999999998,0.2,4.7304
Standard Class,Consumer,Morristown,New Jersey,East,Office Supplies,Fasteners,7.56,0.0,0.3024
Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Storage,37.208,0.2,-7.4416
Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Envelopes,57.576,0.2,21.590999999999998
Second Class,Corporate,San Francisco,California,West,Office Supplies,Storage,725.84,0.0,210.4936
First Class,Consumer,San Francisco,California,West,Technology,Accessories,209.93,0.0,92.3692
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,0.0,2.3232
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,10.92,0.2,4.095
First Class,Corporate,Inglewood,California,West,Office Supplies,Paper,8.82,0.0,4.0572
First Class,Corporate,Inglewood,California,West,Office Supplies,Art,5.98,0.0,1.5548
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,11.648,0.2,4.0768
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,18.176,0.2,5.9072
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,59.711999999999996,0.2,5.9712
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,24.84,0.2,8.693999999999999
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.08,0.8,-3.432
Second Class,Consumer,Houston,Texas,Central,Technology,Phones,1114.4,0.2,376.11
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1038.84,0.2,51.942
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,141.76,0.2,47.843999999999994
Standard Class,Consumer,Portland,Oregon,West,Technology,Accessories,239.8,0.2,47.96
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,31.104,0.2,10.8864
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Binders,254.058,0.7,-169.372
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Appliances,194.528,0.2,24.316
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Supplies,961.48,0.2,-204.3145
Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Fasteners,19.096,0.2,6.6836
Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Labels,18.496,0.2,6.2424
Second Class,Home Office,Columbus,Ohio,East,Technology,Accessories,255.984,0.2,54.3966
Second Class,Home Office,Columbus,Ohio,East,Furniture,Bookcases,86.97,0.5,-48.7032
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,300.416,0.2,78.8592
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Chairs,230.352,0.2,20.1558
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,218.352,0.2,-24.5646
